SI,mei1,mei2,smi,meo1,meo2,smo,fc,el,image,image2
Sample-1000,100,340,3.88,90,103,8,0.2,0.383,Sample-1000_image.tif,Sample-1000_image.jpg
Sample-1001,100,340,3.88,90,250,1.3,0.1,0.636,Sample-1001_image.tif,Sample-1001_image.jpg
Sample-1002,100,340,3.88,90,250,1.3,0.2,0.753,Sample-1002_image.tif,Sample-1002_image.jpg
Sample-1003,100,340,3.88,90,250,1.79,0.1,0.635,Sample-1003_image.tif,Sample-1003_image.jpg
Sample-1004,100,340,3.88,90,250,1.79,0.2,0.774,Sample-1004_image.tif,Sample-1004_image.jpg
Sample-1005,100,340,3.88,90,250,6.62,0.1,0.76,Sample-1005_image.tif,Sample-1005_image.jpg
Sample-1006,100,340,3.88,90,250,6.62,0.2,0.825,Sample-1006_image.tif,Sample-1006_image.jpg
Sample-1007,100,340,3.88,90,250,8,0.1,0.727,Sample-1007_image.tif,Sample-1007_image.jpg
Sample-1008,100,340,3.88,90,250,8,0.2,0.767,Sample-1008_image.tif,Sample-1008_image.jpg
Sample-1009,100,340,3.88,90,300,1.3,0.1,0.614,Sample-1009_image.tif,Sample-1009_image.jpg
Sample-100,100,180,2.807,90,103,1.79,0.2,0.148,Sample-100_image.tif,Sample-100_image.jpg
Sample-1010,100,340,3.88,90,300,1.3,0.2,0.712,Sample-1010_image.tif,Sample-1010_image.jpg
Sample-1011,100,340,3.88,90,300,1.79,0.1,0.095,Sample-1011_image.tif,Sample-1011_image.jpg
Sample-1012,100,340,3.88,90,300,1.79,0.2,0.795,Sample-1012_image.tif,Sample-1012_image.jpg
Sample-1013,100,340,3.88,90,300,6.62,0.1,0.643,Sample-1013_image.tif,Sample-1013_image.jpg
Sample-1014,100,340,3.88,90,300,6.62,0.2,0.656,Sample-1014_image.tif,Sample-1014_image.jpg
Sample-1015,100,340,3.88,90,300,8,0.1,0.719,Sample-1015_image.tif,Sample-1015_image.jpg
Sample-1016,100,340,3.88,90,300,8,0.2,0.522,Sample-1016_image.tif,Sample-1016_image.jpg
Sample-1017,100,340,3.88,90,70,1.3,0.1,0.534,Sample-1017_image.tif,Sample-1017_image.jpg
Sample-1018,100,340,3.88,90,70,1.3,0.2,0.604,Sample-1018_image.tif,Sample-1018_image.jpg
Sample-1019,100,340,3.88,90,70,1.79,0.1,0.508,Sample-1019_image.tif,Sample-1019_image.jpg
Sample-101,100,180,2.807,90,103,6.62,0.1,0.243,Sample-101_image.tif,Sample-101_image.jpg
Sample-1020,100,340,3.88,90,70,1.79,0.2,0.681,Sample-1020_image.tif,Sample-1020_image.jpg
Sample-1021,100,340,3.88,90,70,6.62,0.1,0.532,Sample-1021_image.tif,Sample-1021_image.jpg
Sample-1022,100,340,3.88,90,70,6.62,0.2,0.718,Sample-1022_image.tif,Sample-1022_image.jpg
Sample-1023,100,340,3.88,90,70,8,0.1,0.608,Sample-1023_image.tif,Sample-1023_image.jpg
Sample-1024,100,340,3.88,90,70,8,0.2,0.709,Sample-1024_image.tif,Sample-1024_image.jpg
Sample-1025,100,340,4.812,150,103,1.3,0.1,0.683,Sample-1025_image.tif,Sample-1025_image.jpg
Sample-1026,100,340,4.812,150,103,1.3,0.2,0.712,Sample-1026_image.tif,Sample-1026_image.jpg
Sample-1027,100,340,4.812,150,103,1.79,0.1,0.679,Sample-1027_image.tif,Sample-1027_image.jpg
