SI,e1,e2,load,fc,count,len,amp,image
51,0.1,0.08,8,0.01,11,30.46,1.44665,Snaking_E1_0_E2_1_Fric_0_load_1.jpg
52,0.1,0.08,10,0.01,10,34.38,3.81965,Snaking_E1_0_E2_1_Fric_0_load_2.jpg
53,0.1,0.08,12,0.01,9,35.93,2.29383,Snaking_E1_0_E2_1_Fric_0_load_3.jpg
54,0.1,0.08,14,0.01,13,43.1,2.95399,Snaking_E1_0_E2_1_Fric_0_load_4.jpg
55,0.1,0.08,6,5,7,14.37,1.28279,Snaking_E1_0_E2_1_Fric_1_load_0.jpg
56,0.1,0.08,8,5,8,26.08,1.97337,Snaking_E1_0_E2_1_Fric_1_load_1.jpg
57,0.1,0.08,10,5,12,36.33,2.2376,Snaking_E1_0_E2_1_Fric_1_load_2.jpg
58,0.1,0.08,12,5,11,40.71,1.90102,Snaking_E1_0_E2_1_Fric_1_load_3.jpg
59,0.1,0.08,14,5,10,45.24,3.4888,Snaking_E1_0_E2_1_Fric_1_load_4.jpg
60,0.1,0.08,6,10,7,14.88,1.47667,Snaking_E1_0_E2_1_Fric_2_load_0.jpg
61,0.1,0.08,8,10,10,30.59,1.81608,Snaking_E1_0_E2_1_Fric_2_load_1.jpg
62,0.1,0.08,10,10,12,36.43,2.10422,Snaking_E1_0_E2_1_Fric_2_load_2.jpg
63,0.1,0.08,12,10,10,37.19,2.74042,Snaking_E1_0_E2_1_Fric_2_load_3.jpg
64,0.1,0.08,14,10,8,43.48,2.69946,Snaking_E1_0_E2_1_Fric_2_load_4.jpg
65,0.1,0.08,6,15,6,12.37,1.32445,Snaking_E1_0_E2_1_Fric_3_load_0.jpg
66,0.1,0.08,8,15,9,26.59,2.2632,Snaking_E1_0_E2_1_Fric_3_load_1.jpg
67,0.1,0.08,10,15,11,34.91,2.26512,Snaking_E1_0_E2_1_Fric_3_load_2.jpg
68,0.1,0.08,12,15,9,40.75,2.40859,Snaking_E1_0_E2_1_Fric_3_load_3.jpg
69,0.1,0.08,14,15,10,42.98,4.01736,Snaking_E1_0_E2_1_Fric_3_load_4.jpg
70,0.1,0.08,6,20,8,16.78,0.689971,Snaking_E1_0_E2_1_Fric_4_load_0.jpg
71,0.1,0.08,8,20,8,28.72,1.78791,Snaking_E1_0_E2_1_Fric_4_load_1.jpg
72,0.1,0.08,10,20,8,36.48,3.47594,Snaking_E1_0_E2_1_Fric_4_load_2.jpg
73,0.1,0.08,12,20,10,36.91,1.70396,Snaking_E1_0_E2_1_Fric_4_load_3.jpg
74,0.1,0.08,14,20,11,43.95,6.02162,Snaking_E1_0_E2_1_Fric_4_load_4.jpg
75,0.1,0.08,6,25,7,14.35,1.19013,Snaking_E1_0_E2_1_Fric_5_load_0.jpg
76,0.1,0.08,8,25,9,28.68,1.77564,Snaking_E1_0_E2_1_Fric_5_load_1.jpg
77,0.1,0.08,10,25,8,34.93,2.72667,Snaking_E1_0_E2_1_Fric_5_load_2.jpg
78,0.1,0.08,12,25,10,39.16,2.87465,Snaking_E1_0_E2_1_Fric_5_load_3.jpg
79,0.1,0.08,14,25,9,46.15,5.3526,Snaking_E1_0_E2_1_Fric_5_load_4.jpg
80,0.1,0.08,6,30,7,14.85,1.10648,Snaking_E1_0_E2_1_Fric_6_load_0.jpg
81,0.1,0.08,8,30,8,32.75,2.20988,Snaking_E1_0_E2_1_Fric_6_load_1.jpg
82,0.1,0.08,10,30,9,35.94,2.88278,Snaking_E1_0_E2_1_Fric_6_load_2.jpg
83,0.1,0.08,12,30,11,40.26,3.28009,Snaking_E1_0_E2_1_Fric_6_load_3.jpg
