SI,e1,e2,load,fc,count,len,amp,image
256,0.12,0.07,8,5,8,33.25,2.29927,Snaking_E1_1_E2_0_Fric_1_load_1.jpg
257,0.12,0.07,10,5,8,31.52,2.21323,Snaking_E1_1_E2_0_Fric_1_load_2.jpg
258,0.12,0.07,12,5,7,40.71,2.36244,Snaking_E1_1_E2_0_Fric_1_load_3.jpg
259,0.12,0.07,14,5,10,45.04,3.01507,Snaking_E1_1_E2_0_Fric_1_load_4.jpg
260,0.12,0.07,6,10,7,14.37,0.738069,Snaking_E1_1_E2_0_Fric_2_load_0.jpg
261,0.12,0.07,8,10,7,27.31,2.15876,Snaking_E1_1_E2_0_Fric_2_load_1.jpg
262,0.12,0.07,10,10,8,33.59,2.24967,Snaking_E1_1_E2_0_Fric_2_load_2.jpg
263,0.12,0.07,12,10,11,40.08,4.92417,Snaking_E1_1_E2_0_Fric_2_load_3.jpg
264,0.12,0.07,14,10,11,43.93,3.11419,Snaking_E1_1_E2_0_Fric_2_load_4.jpg
265,0.12,0.07,6,15,6,12.37,1.11706,Snaking_E1_1_E2_0_Fric_3_load_0.jpg
266,0.12,0.07,8,15,10,28.96,2.03661,Snaking_E1_1_E2_0_Fric_3_load_1.jpg
267,0.12,0.07,10,15,10,35.31,3.70851,Snaking_E1_1_E2_0_Fric_3_load_2.jpg
268,0.12,0.07,12,15,8,42.3,3.84659,Snaking_E1_1_E2_0_Fric_3_load_3.jpg
269,0.12,0.07,14,15,9,45.97,3.36613,Snaking_E1_1_E2_0_Fric_3_load_4.jpg
270,0.12,0.07,6,20,8,17.84,1.18951,Snaking_E1_1_E2_0_Fric_4_load_0.jpg
271,0.12,0.07,8,20,11,32.04,2.12573,Snaking_E1_1_E2_0_Fric_4_load_1.jpg
272,0.12,0.07,10,20,9,33.8,3.53505,Snaking_E1_1_E2_0_Fric_4_load_2.jpg
273,0.12,0.07,12,20,10,39.18,4.08851,Snaking_E1_1_E2_0_Fric_4_load_3.jpg
274,0.12,0.07,14,20,10,43.25,3.71133,Snaking_E1_1_E2_0_Fric_4_load_4.jpg
275,0.12,0.07,6,25,7,15.83,0.703644,Snaking_E1_1_E2_0_Fric_5_load_0.jpg
276,0.12,0.07,8,25,7,32.76,2.06549,Snaking_E1_1_E2_0_Fric_5_load_1.jpg
277,0.12,0.07,10,25,9,36.45,2.74967,Snaking_E1_1_E2_0_Fric_5_load_2.jpg
278,0.12,0.07,12,25,8,40.67,3.50637,Snaking_E1_1_E2_0_Fric_5_load_3.jpg
279,0.12,0.07,14,25,13,44.61,2.38277,Snaking_E1_1_E2_0_Fric_5_load_4.jpg
280,0.12,0.07,6,30,7,13.83,0.681754,Snaking_E1_1_E2_0_Fric_6_load_0.jpg
281,0.12,0.07,8,30,10,29.97,1.65881,Snaking_E1_1_E2_0_Fric_6_load_1.jpg
282,0.12,0.07,10,30,9,34.34,3.01107,Snaking_E1_1_E2_0_Fric_6_load_2.jpg
283,0.12,0.07,12,30,11,41.59,3.03264,Snaking_E1_1_E2_0_Fric_6_load_3.jpg
284,0.12,0.07,14,30,9,36.58,3.17352,Snaking_E1_1_E2_0_Fric_6_load_4.jpg
285,0.12,0.07,6,35,8,15.74,0.575352,Snaking_E1_1_E2_0_Fric_7_load_0.jpg
286,0.12,0.07,8,35,9,31.64,2.29489,Snaking_E1_1_E2_0_Fric_7_load_1.jpg
287,0.12,0.07,10,35,8,33.95,2.46041,Snaking_E1_1_E2_0_Fric_7_load_2.jpg
288,0.12,0.07,12,35,10,40.66,2.98965,Snaking_E1_1_E2_0_Fric_7_load_3.jpg
289,0.12,0.07,14,35,10,45.09,3.66682,Snaking_E1_1_E2_0_Fric_7_load_4.jpg
290,0.12,0.07,6,40,8,17.82,0.745074,Snaking_E1_1_E2_0_Fric_8_load_0.jpg
291,0.12,0.07,8,40,11,30.41,1.76575,Snaking_E1_1_E2_0_Fric_8_load_1.jpg
292,0.12,0.07,10,40,9,30.21,3.10234,Snaking_E1_1_E2_0_Fric_8_load_2.jpg
293,0.12,0.07,12,40,9,40.15,3.79184,Snaking_E1_1_E2_0_Fric_8_load_3.jpg
294,0.12,0.07,14,40,9,45.05,2.9973,Snaking_E1_1_E2_0_Fric_8_load_4.jpg
295,0.12,0.07,6,45,8,15.3,0.625967,Snaking_E1_1_E2_0_Fric_9_load_0.jpg
296,0.12,0.07,8,45,10,29.52,1.90978,Snaking_E1_1_E2_0_Fric_9_load_1.jpg
297,0.12,0.07,10,45,8,38.62,2.33246,Snaking_E1_1_E2_0_Fric_9_load_2.jpg
298,0.12,0.07,12,45,9,41.25,2.62489,Snaking_E1_1_E2_0_Fric_9_load_3.jpg
299,0.12,0.07,14,45,14,43.38,2.58785,Snaking_E1_1_E2_0_Fric_9_load_4.jpg
300,0.12,0.08,6,0.01,6,12.86,1.1342,Snaking_E1_1_E2_1_Fric_0_load_0.jpg
301,0.12,0.08,8,0.01,10,28.52,1.48709,Snaking_E1_1_E2_1_Fric_0_load_1.jpg
302,0.12,0.08,10,0.01,10,35.21,2.27005,Snaking_E1_1_E2_1_Fric_0_load_2.jpg
303,0.12,0.08,12,0.01,9,43.36,3.26108,Snaking_E1_1_E2_1_Fric_0_load_3.jpg
304,0.12,0.08,14,0.01,13,47.55,3.02239,Snaking_E1_1_E2_1_Fric_0_load_4.jpg
305,0.12,0.08,6,5,6,11.9,0.831052,Snaking_E1_1_E2_1_Fric_1_load_0.jpg
306,0.12,0.08,8,5,10,26.59,1.91755,Snaking_E1_1_E2_1_Fric_1_load_1.jpg
307,0.12,0.08,10,5,10,34.85,2.66266,Snaking_E1_1_E2_1_Fric_1_load_2.jpg
308,0.12,0.08,12,5,9,38.09,4.7381,Snaking_E1_1_E2_1_Fric_1_load_3.jpg
309,0.12,0.08,14,5,12,45.92,2.89527,Snaking_E1_1_E2_1_Fric_1_load_4.jpg
310,0.12,0.08,6,10,7,14.35,0.57422,Snaking_E1_1_E2_1_Fric_2_load_0.jpg
311,0.12,0.08,8,10,9,29.57,1.59648,Snaking_E1_1_E2_1_Fric_2_load_1.jpg
312,0.12,0.08,10,10,11,36.28,3.84473,Snaking_E1_1_E2_1_Fric_2_load_2.jpg
313,0.12,0.08,12,10,11,39.58,3.06082,Snaking_E1_1_E2_1_Fric_2_load_3.jpg
314,0.12,0.08,14,10,9,46.44,3.8387,Snaking_E1_1_E2_1_Fric_2_load_4.jpg
315,0.12,0.08,6,15,7,14.35,0.769563,Snaking_E1_1_E2_1_Fric_3_load_0.jpg
316,0.12,0.08,8,15,7,28.24,2.45629,Snaking_E1_1_E2_1_Fric_3_load_1.jpg
317,0.12,0.08,10,15,10,36.93,4.09114,Snaking_E1_1_E2_1_Fric_3_load_2.jpg
318,0.12,0.08,12,15,12,41.75,2.31588,Snaking_E1_1_E2_1_Fric_3_load_3.jpg
319,0.12,0.08,14,15,5,45.58,2.06647,Snaking_E1_1_E2_1_Fric_3_load_4.jpg
320,0.12,0.08,6,20,7,15.37,0.705614,Snaking_E1_1_E2_1_Fric_4_load_0.jpg
321,0.12,0.08,8,20,10,27.49,2.00663,Snaking_E1_1_E2_1_Fric_4_load_1.jpg
322,0.12,0.08,10,20,9,36.08,2.67389,Snaking_E1_1_E2_1_Fric_4_load_2.jpg
323,0.12,0.08,12,20,9,35.38,4.73003,Snaking_E1_1_E2_1_Fric_4_load_3.jpg
324,0.12,0.08,14,20,8,46.4,4.38616,Snaking_E1_1_E2_1_Fric_4_load_4.jpg
325,0.12,0.08,6,25,6,12.86,1.15724,Snaking_E1_1_E2_1_Fric_5_load_0.jpg
326,0.12,0.08,8,25,11,29.94,1.51514,Snaking_E1_1_E2_1_Fric_5_load_1.jpg
327,0.12,0.08,10,25,9,34.24,3.44445,Snaking_E1_1_E2_1_Fric_5_load_2.jpg
328,0.12,0.08,12,25,6,35.68,3.68303,Snaking_E1_1_E2_1_Fric_5_load_3.jpg
329,0.12,0.08,14,25,8,44.24,6.14014,Snaking_E1_1_E2_1_Fric_5_load_4.jpg
330,0.12,0.08,6,30,7,14.85,0.966001,Snaking_E1_1_E2_1_Fric_6_load_0.jpg
331,0.12,0.08,8,30,11,32.41,1.49131,Snaking_E1_1_E2_1_Fric_6_load_1.jpg
332,0.12,0.08,10,30,10,37.27,2.29109,Snaking_E1_1_E2_1_Fric_6_load_2.jpg
333,0.12,0.08,12,30,9,42.25,2.88231,Snaking_E1_1_E2_1_Fric_6_load_3.jpg
334,0.12,0.08,14,30,8,42.67,4.27894,Snaking_E1_1_E2_1_Fric_6_load_4.jpg
335,0.12,0.08,6,35,6,12.85,1.186,Snaking_E1_1_E2_1_Fric_7_load_0.jpg
336,0.12,0.08,8,35,10,29.01,2.11755,Snaking_E1_1_E2_1_Fric_7_load_1.jpg
337,0.12,0.08,10,35,8,36.47,2.07221,Snaking_E1_1_E2_1_Fric_7_load_2.jpg
338,0.12,0.08,12,35,8,41.23,3.146,Snaking_E1_1_E2_1_Fric_7_load_3.jpg
339,0.12,0.08,14,35,8,43.4,6.11616,Snaking_E1_1_E2_1_Fric_7_load_4.jpg
340,0.12,0.08,6,40,7,14.87,0.716307,Snaking_E1_1_E2_1_Fric_8_load_0.jpg
341,0.12,0.08,8,40,8,23.99,1.57784,Snaking_E1_1_E2_1_Fric_8_load_1.jpg
342,0.12,0.08,10,40,8,35.93,2.31285,Snaking_E1_1_E2_1_Fric_8_load_2.jpg
343,0.12,0.08,12,40,13,41.73,2.47162,Snaking_E1_1_E2_1_Fric_8_load_3.jpg
344,0.12,0.08,14,40,10,45.84,3.53915,Snaking_E1_1_E2_1_Fric_8_load_4.jpg
345,0.12,0.08,6,45,6,12.87,1.14189,Snaking_E1_1_E2_1_Fric_9_load_0.jpg
346,0.12,0.08,8,45,9,26.02,2.71618,Snaking_E1_1_E2_1_Fric_9_load_1.jpg
347,0.12,0.08,10,45,10,34.81,3.21728,Snaking_E1_1_E2_1_Fric_9_load_2.jpg
348,0.12,0.08,12,45,9,41.76,4.79687,Snaking_E1_1_E2_1_Fric_9_load_3.jpg
349,0.12,0.08,14,45,9,42.04,6.45051,Snaking_E1_1_E2_1_Fric_9_load_4.jpg
350,0.12,0.09,6,0.01,6,13.37,0.719411,Snaking_E1_1_E2_2_Fric_0_load_0.jpg
351,0.12,0.09,8,0.01,6,26.17,2.41306,Snaking_E1_1_E2_2_Fric_0_load_1.jpg
352,0.12,0.09,10,0.01,9,31.74,3.15273,Snaking_E1_1_E2_2_Fric_0_load_2.jpg
353,0.12,0.09,12,0.01,9,42.49,3.39909,Snaking_E1_1_E2_2_Fric_0_load_3.jpg
354,0.12,0.09,14,0.01,9,45.86,6.6348,Snaking_E1_1_E2_2_Fric_0_load_4.jpg
355,0.12,0.09,6,5,6,12.38,0.807802,Snaking_E1_1_E2_2_Fric_1_load_0.jpg
356,0.12,0.09,8,5,8,29.6,2.36075,Snaking_E1_1_E2_2_Fric_1_load_1.jpg
357,0.12,0.09,10,5,7,36.87,2.08321,Snaking_E1_1_E2_2_Fric_1_load_2.jpg
358,0.12,0.09,12,5,8,40.66,4.09016,Snaking_E1_1_E2_2_Fric_1_load_3.jpg
359,0.12,0.09,14,5,8,45.86,5.17902,Snaking_E1_1_E2_2_Fric_1_load_4.jpg
360,0.12,0.09,6,10,5,9.88,0.728744,Snaking_E1_1_E2_2_Fric_2_load_0.jpg
361,0.12,0.09,8,10,12,31.92,1.7217,Snaking_E1_1_E2_2_Fric_2_load_1.jpg
362,0.12,0.09,10,10,8,36.96,2.25152,Snaking_E1_1_E2_2_Fric_2_load_2.jpg
363,0.12,0.09,12,10,11,42.17,2.18378,Snaking_E1_1_E2_2_Fric_2_load_3.jpg
364,0.12,0.09,14,10,9,47.21,5.37098,Snaking_E1_1_E2_2_Fric_2_load_4.jpg
365,0.12,0.09,6,15,7,14.86,0.860909,Snaking_E1_1_E2_2_Fric_3_load_0.jpg
366,0.12,0.09,8,15,10,29,1.30096,Snaking_E1_1_E2_2_Fric_3_load_1.jpg
367,0.12,0.09,10,15,8,36.96,2.15426,Snaking_E1_1_E2_2_Fric_3_load_2.jpg
368,0.12,0.09,12,15,12,42.65,3.32322,Snaking_E1_1_E2_2_Fric_3_load_3.jpg
369,0.12,0.09,14,15,9,42.35,2.64832,Snaking_E1_1_E2_2_Fric_3_load_4.jpg
370,0.12,0.09,6,20,6,11.86,0.834505,Snaking_E1_1_E2_2_Fric_4_load_0.jpg
371,0.12,0.09,8,20,10,28.45,1.29623,Snaking_E1_1_E2_2_Fric_4_load_1.jpg
372,0.12,0.09,10,20,9,32.78,3.99882,Snaking_E1_1_E2_2_Fric_4_load_2.jpg
373,0.12,0.09,12,20,8,41.34,2.24318,Snaking_E1_1_E2_2_Fric_4_load_3.jpg
374,0.12,0.09,14,20,10,45.02,3.61546,Snaking_E1_1_E2_2_Fric_4_load_4.jpg
375,0.12,0.09,6,25,6,12.37,0.789662,Snaking_E1_1_E2_2_Fric_5_load_0.jpg
376,0.12,0.09,8,25,11,28.46,1.74251,Snaking_E1_1_E2_2_Fric_5_load_1.jpg
377,0.12,0.09,10,25,9,35.32,3.12129,Snaking_E1_1_E2_2_Fric_5_load_2.jpg
378,0.12,0.09,12,25,9,37.98,4.02101,Snaking_E1_1_E2_2_Fric_5_load_3.jpg
379,0.12,0.09,14,25,14,46.63,2.89416,Snaking_E1_1_E2_2_Fric_5_load_4.jpg
380,0.12,0.09,6,30,6,12.4,0.955908,Snaking_E1_1_E2_2_Fric_6_load_0.jpg
381,0.12,0.09,8,30,9,27.42,1.50964,Snaking_E1_1_E2_2_Fric_6_load_1.jpg
382,0.12,0.09,10,30,11,36.75,1.92562,Snaking_E1_1_E2_2_Fric_6_load_2.jpg
383,0.12,0.09,12,30,8,36.75,2.69731,Snaking_E1_1_E2_2_Fric_6_load_3.jpg
384,0.12,0.09,14,30,10,44.99,2.91138,Snaking_E1_1_E2_2_Fric_6_load_4.jpg
385,0.12,0.09,6,35,6,11.85,0.774108,Snaking_E1_1_E2_2_Fric_7_load_0.jpg
386,0.12,0.09,8,35,9,27.92,2.00957,Snaking_E1_1_E2_2_Fric_7_load_1.jpg
387,0.12,0.09,10,35,10,36.95,2.8289,Snaking_E1_1_E2_2_Fric_7_load_2.jpg
388,0.12,0.09,12,35,8,40.68,2.35971,Snaking_E1_1_E2_2_Fric_7_load_3.jpg
389,0.12,0.09,14,35,10,43.47,4.87548,Snaking_E1_1_E2_2_Fric_7_load_4.jpg
390,0.12,0.09,6,40,6,11.9,0.68202,Snaking_E1_1_E2_2_Fric_8_load_0.jpg
391,0.12,0.09,8,40,10,31.14,1.98854,Snaking_E1_1_E2_2_Fric_8_load_1.jpg
392,0.12,0.09,10,40,8,31.28,3.02378,Snaking_E1_1_E2_2_Fric_8_load_2.jpg
393,0.12,0.09,12,40,8,36.93,2.75677,Snaking_E1_1_E2_2_Fric_8_load_3.jpg
394,0.12,0.09,14,40,10,45.7,6.04556,Snaking_E1_1_E2_2_Fric_8_load_4.jpg
395,0.12,0.09,6,45,6,13.34,0.664407,Snaking_E1_1_E2_2_Fric_9_load_0.jpg
396,0.12,0.09,8,45,11,29.51,1.70478,Snaking_E1_1_E2_2_Fric_9_load_1.jpg
397,0.12,0.09,10,45,11,36.3,1.89286,Snaking_E1_1_E2_2_Fric_9_load_2.jpg
398,0.12,0.09,12,45,9,41.67,3.61886,Snaking_E1_1_E2_2_Fric_9_load_3.jpg
399,0.12,0.09,14,45,13,45.14,2.68066,Snaking_E1_1_E2_2_Fric_9_load_4.jpg
400,0.12,0.1,6,0.01,6,12.38,0.946392,Snaking_E1_1_E2_3_Fric_0_load_0.jpg
401,0.12,0.1,8,0.01,8,31.14,2.35725,Snaking_E1_1_E2_3_Fric_0_load_1.jpg
402,0.12,0.1,10,0.01,10,35.76,1.96544,Snaking_E1_1_E2_3_Fric_0_load_2.jpg
403,0.12,0.1,12,0.01,8,41.14,3.54774,Snaking_E1_1_E2_3_Fric_0_load_3.jpg
404,0.12,0.1,14,0.01,9,40.57,5.85908,Snaking_E1_1_E2_3_Fric_0_load_4.jpg
405,0.12,0.1,6,5,7,14.34,0.500378,Snaking_E1_1_E2_3_Fric_1_load_0.jpg
406,0.12,0.1,8,5,7,28.07,1.86424,Snaking_E1_1_E2_3_Fric_1_load_1.jpg
407,0.12,0.1,10,5,9,29.62,2.14427,Snaking_E1_1_E2_3_Fric_1_load_2.jpg
408,0.12,0.1,12,5,11,41.11,2.90132,Snaking_E1_1_E2_3_Fric_1_load_3.jpg
409,0.12,0.1,14,5,10,45.49,3.80876,Snaking_E1_1_E2_3_Fric_1_load_4.jpg
410,0.12,0.1,6,10,5,9.38,0.634138,Snaking_E1_1_E2_3_Fric_2_load_0.jpg
411,0.12,0.1,8,10,6,24.15,1.95831,Snaking_E1_1_E2_3_Fric_2_load_1.jpg
412,0.12,0.1,10,10,11,35.86,2.10934,Snaking_E1_1_E2_3_Fric_2_load_2.jpg
413,0.12,0.1,12,10,9,42.24,4.7436,Snaking_E1_1_E2_3_Fric_2_load_3.jpg
414,0.12,0.1,14,10,12,43.62,3.81972,Snaking_E1_1_E2_3_Fric_2_load_4.jpg
415,0.12,0.1,6,15,6,11.82,0.609584,Snaking_E1_1_E2_3_Fric_3_load_0.jpg
416,0.12,0.1,8,15,9,30.64,1.53973,Snaking_E1_1_E2_3_Fric_3_load_1.jpg
417,0.12,0.1,10,15,9,37.18,2.53181,Snaking_E1_1_E2_3_Fric_3_load_2.jpg
418,0.12,0.1,12,15,10,40.58,2.67385,Snaking_E1_1_E2_3_Fric_3_load_3.jpg
419,0.12,0.1,14,15,7,44.47,3.01208,Snaking_E1_1_E2_3_Fric_3_load_4.jpg
420,0.12,0.1,6,20,6,12.37,0.881148,Snaking_E1_1_E2_3_Fric_4_load_0.jpg
421,0.12,0.1,8,20,8,31.17,2.29329,Snaking_E1_1_E2_3_Fric_4_load_1.jpg
422,0.12,0.1,10,20,5,18.94,2.79024,Snaking_E1_1_E2_3_Fric_4_load_2.jpg
423,0.12,0.1,12,20,8,33.46,3.53132,Snaking_E1_1_E2_3_Fric_4_load_3.jpg
424,0.12,0.1,14,20,8,43,3.19548,Snaking_E1_1_E2_3_Fric_4_load_4.jpg
425,0.12,0.1,6,25,5,9.39,0.698086,Snaking_E1_1_E2_3_Fric_5_load_0.jpg
426,0.12,0.1,8,25,9,27.04,1.47563,Snaking_E1_1_E2_3_Fric_5_load_1.jpg
427,0.12,0.1,10,25,11,37.45,2.45119,Snaking_E1_1_E2_3_Fric_5_load_2.jpg
428,0.12,0.1,12,25,11,41.13,5.00571,Snaking_E1_1_E2_3_Fric_5_load_3.jpg
429,0.12,0.1,14,25,10,42.67,3.42256,Snaking_E1_1_E2_3_Fric_5_load_4.jpg
430,0.12,0.1,6,30,6,12.37,0.720229,Snaking_E1_1_E2_3_Fric_6_load_0.jpg
431,0.12,0.1,8,30,8,26.55,2.30418,Snaking_E1_1_E2_3_Fric_6_load_1.jpg
432,0.12,0.1,10,30,11,36.41,1.87401,Snaking_E1_1_E2_3_Fric_6_load_2.jpg
433,0.12,0.1,12,30,10,37.14,2.91986,Snaking_E1_1_E2_3_Fric_6_load_3.jpg
434,0.12,0.1,14,30,8,45.85,3.81474,Snaking_E1_1_E2_3_Fric_6_load_4.jpg
435,0.12,0.1,6,35,6,11.78,0.560922,Snaking_E1_1_E2_3_Fric_7_load_0.jpg
436,0.12,0.1,8,35,11,29.4,1.42782,Snaking_E1_1_E2_3_Fric_7_load_1.jpg
437,0.12,0.1,10,35,10,34.86,2.38456,Snaking_E1_1_E2_3_Fric_7_load_2.jpg
438,0.12,0.1,12,35,12,42.97,2.11895,Snaking_E1_1_E2_3_Fric_7_load_3.jpg
439,0.12,0.1,14,35,12,45.47,3.80021,Snaking_E1_1_E2_3_Fric_7_load_4.jpg
440,0.12,0.1,6,40,5,9.37,0.695333,Snaking_E1_1_E2_3_Fric_8_load_0.jpg
441,0.12,0.1,8,40,8,30.06,2.33937,Snaking_E1_1_E2_3_Fric_8_load_1.jpg
442,0.12,0.1,10,40,9,29.41,2.12783,Snaking_E1_1_E2_3_Fric_8_load_2.jpg
443,0.12,0.1,12,40,10,41.16,4.88408,Snaking_E1_1_E2_3_Fric_8_load_3.jpg
444,0.12,0.1,14,40,6,38.5,5.89071,Snaking_E1_1_E2_3_Fric_8_load_4.jpg
445,0.12,0.1,6,45,6,12.36,0.51005,Snaking_E1_1_E2_3_Fric_9_load_0.jpg
446,0.12,0.1,8,45,11,29.53,1.40309,Snaking_E1_1_E2_3_Fric_9_load_1.jpg
447,0.12,0.1,10,45,11,38.29,3.16917,Snaking_E1_1_E2_3_Fric_9_load_2.jpg
448,0.12,0.1,12,45,8,42.26,2.86126,Snaking_E1_1_E2_3_Fric_9_load_3.jpg
449,0.12,0.1,14,45,9,44.26,3.11529,Snaking_E1_1_E2_3_Fric_9_load_4.jpg
450,0.12,0.15,6,0.01,3,3.94,0.293681,Snaking_E1_1_E2_4_Fric_0_load_0.jpg
451,0.12,0.15,8,0.01,8,27.39,1.42647,Snaking_E1_1_E2_4_Fric_0_load_1.jpg
452,0.12,0.15,10,0.01,10,31.23,1.66075,Snaking_E1_1_E2_4_Fric_0_load_2.jpg
453,0.12,0.15,12,0.01,10,43.04,3.59278,Snaking_E1_1_E2_4_Fric_0_load_3.jpg
454,0.12,0.15,14,0.01,6,47.28,2.94893,Snaking_E1_1_E2_4_Fric_0_load_4.jpg
455,0.12,0.15,6,5,5,8.86,0.397846,Snaking_E1_1_E2_4_Fric_1_load_0.jpg
456,0.12,0.15,8,5,8,22.41,1.70925,Snaking_E1_1_E2_4_Fric_1_load_1.jpg
457,0.12,0.15,10,5,6,36.76,2.21728,Snaking_E1_1_E2_4_Fric_1_load_2.jpg
458,0.12,0.15,12,5,9,40.51,4.73826,Snaking_E1_1_E2_4_Fric_1_load_3.jpg
459,0.12,0.15,14,5,5,46.83,2.62497,Snaking_E1_1_E2_4_Fric_1_load_4.jpg
460,0.12,0.15,6,10,3,4.42,0.287688,Snaking_E1_1_E2_4_Fric_2_load_0.jpg
461,0.12,0.15,8,10,10,26.92,1.14,Snaking_E1_1_E2_4_Fric_2_load_1.jpg
462,0.12,0.15,10,10,9,34.28,3.13018,Snaking_E1_1_E2_4_Fric_2_load_2.jpg
463,0.12,0.15,12,10,8,38.56,2.62779,Snaking_E1_1_E2_4_Fric_2_load_3.jpg
464,0.12,0.15,14,10,6,43.84,2.74949,Snaking_E1_1_E2_4_Fric_2_load_4.jpg
465,0.12,0.15,6,15,5,9.35,0.40135,Snaking_E1_1_E2_4_Fric_3_load_0.jpg
466,0.12,0.15,8,15,10,26.81,1.21667,Snaking_E1_1_E2_4_Fric_3_load_1.jpg
467,0.12,0.15,10,15,7,36.82,1.92627,Snaking_E1_1_E2_4_Fric_3_load_2.jpg
468,0.12,0.15,12,15,11,43.06,3.78505,Snaking_E1_1_E2_4_Fric_3_load_3.jpg
469,0.12,0.15,14,15,7,45.65,4.96731,Snaking_E1_1_E2_4_Fric_3_load_4.jpg
470,0.12,0.15,6,20,5,8.95,0.383257,Snaking_E1_1_E2_4_Fric_4_load_0.jpg
471,0.12,0.15,8,20,8,26.44,1.79211,Snaking_E1_1_E2_4_Fric_4_load_1.jpg
472,0.12,0.15,10,20,7,31.75,2.64816,Snaking_E1_1_E2_4_Fric_4_load_2.jpg
473,0.12,0.15,12,20,10,39.99,4.71986,Snaking_E1_1_E2_4_Fric_4_load_3.jpg
474,0.12,0.15,14,20,11,44.45,2.72647,Snaking_E1_1_E2_4_Fric_4_load_4.jpg
475,0.12,0.15,6,25,4,6.44,0.343751,Snaking_E1_1_E2_4_Fric_5_load_0.jpg
476,0.12,0.15,8,25,7,23.52,2.05574,Snaking_E1_1_E2_4_Fric_5_load_1.jpg
477,0.12,0.15,10,25,10,36.2,1.39141,Snaking_E1_1_E2_4_Fric_5_load_2.jpg
478,0.12,0.15,12,25,9,38.22,3.11678,Snaking_E1_1_E2_4_Fric_5_load_3.jpg
479,0.12,0.15,14,25,11,47.31,5.55534,Snaking_E1_1_E2_4_Fric_5_load_4.jpg
480,0.12,0.15,6,30,3,4.42,0.265861,Snaking_E1_1_E2_4_Fric_6_load_0.jpg
481,0.12,0.15,8,30,8,22.96,1.81036,Snaking_E1_1_E2_4_Fric_6_load_1.jpg
482,0.12,0.15,10,30,6,31.28,2.7468,Snaking_E1_1_E2_4_Fric_6_load_2.jpg
483,0.12,0.15,12,30,7,40.52,2.49317,Snaking_E1_1_E2_4_Fric_6_load_3.jpg
484,0.12,0.15,14,30,7,44.36,2.45279,Snaking_E1_1_E2_4_Fric_6_load_4.jpg
485,0.12,0.15,6,35,3,4.46,0.335347,Snaking_E1_1_E2_4_Fric_7_load_0.jpg
486,0.12,0.15,8,35,7,20.86,1.16111,Snaking_E1_1_E2_4_Fric_7_load_1.jpg
487,0.12,0.15,10,35,7,35.3,2.37136,Snaking_E1_1_E2_4_Fric_7_load_2.jpg
488,0.12,0.15,12,35,5,37.6,2.94203,Snaking_E1_1_E2_4_Fric_7_load_3.jpg
489,0.12,0.15,14,35,7,42.07,5.78462,Snaking_E1_1_E2_4_Fric_7_load_4.jpg
490,0.12,0.15,6,40,5,9.36,0.396733,Snaking_E1_1_E2_4_Fric_8_load_0.jpg
491,0.12,0.15,8,40,7,21.37,1.243,Snaking_E1_1_E2_4_Fric_8_load_1.jpg
492,0.12,0.15,10,40,10,33.76,1.8474,Snaking_E1_1_E2_4_Fric_8_load_2.jpg
493,0.12,0.15,12,40,11,39.26,2.01818,Snaking_E1_1_E2_4_Fric_8_load_3.jpg
494,0.12,0.15,14,40,5,43.08,3.93336,Snaking_E1_1_E2_4_Fric_8_load_4.jpg
495,0.12,0.15,6,45,4,6.43,0.337087,Snaking_E1_1_E2_4_Fric_9_load_0.jpg
496,0.12,0.15,8,45,7,23.52,2.02027,Snaking_E1_1_E2_4_Fric_9_load_1.jpg
497,0.12,0.15,10,45,7,36.81,2.05393,Snaking_E1_1_E2_4_Fric_9_load_2.jpg
498,0.12,0.15,12,45,8,43.54,3.17998,Snaking_E1_1_E2_4_Fric_9_load_3.jpg
499,0.12,0.15,14,45,6,46.92,3.05601,Snaking_E1_1_E2_4_Fric_9_load_4.jpg
500,0.14,0.07,6,0.01,7,13.81,0.612093,Snaking_E1_2_E2_0_Fric_0_load_0.jpg
501,0.14,0.07,8,0.01,9,31.18,2.43116,Snaking_E1_2_E2_0_Fric_0_load_1.jpg
502,0.14,0.07,10,0.01,11,37.37,2.32044,Snaking_E1_2_E2_0_Fric_0_load_2.jpg
503,0.14,0.07,12,0.01,8,31.63,4.87779,Snaking_E1_2_E2_0_Fric_0_load_3.jpg
504,0.14,0.07,14,0.01,9,41.56,5.41855,Snaking_E1_2_E2_0_Fric_0_load_4.jpg
505,0.14,0.07,6,5,6,12.89,0.901868,Snaking_E1_2_E2_0_Fric_1_load_0.jpg
506,0.14,0.07,8,5,9,28.46,2.17694,Snaking_E1_2_E2_0_Fric_1_load_1.jpg
507,0.14,0.07,10,5,10,36.94,3.1955,Snaking_E1_2_E2_0_Fric_1_load_2.jpg
508,0.14,0.07,12,5,7,40.65,3.65251,Snaking_E1_2_E2_0_Fric_1_load_3.jpg
509,0.14,0.07,14,5,6,38.54,6.44383,Snaking_E1_2_E2_0_Fric_1_load_4.jpg
510,0.14,0.07,6,10,6,12.88,0.905101,Snaking_E1_2_E2_0_Fric_2_load_0.jpg
511,0.14,0.07,8,10,9,31.11,2.27935,Snaking_E1_2_E2_0_Fric_2_load_1.jpg
512,0.14,0.07,10,10,8,36.92,2.50308,Snaking_E1_2_E2_0_Fric_2_load_2.jpg
513,0.14,0.07,12,10,10,43.17,2.66574,Snaking_E1_2_E2_0_Fric_2_load_3.jpg
